run_accession,secondary_study_accession,sample_accession,secondary_sample_accession,experiment_accession,study_accession,submission_accession,tax_id,scientific_name,instrument_platform,instrument_model,library_name,nominal_length,library_layout,library_strategy,library_source,library_selection,read_count,base_count,center_name,first_public,last_updated,experiment_title,study_title,study_alias,experiment_alias,run_alias,fastq_bytes,fastq_md5,fastq_ftp,fastq_aspera,fastq_galaxy,submitted_bytes,submitted_md5,submitted_ftp,submitted_aspera,submitted_galaxy,submitted_format,sra_bytes,sra_md5,sra_ftp,sra_aspera,sra_galaxy,sample_alias,broker_name,sample_title,nominal_sdev,first_created,IDENTIFIERS__PRIMARY_ID,IDENTIFIERS__SECONDARY_ID,IDENTIFIERS__EXTERNAL_ID__namespace,IDENTIFIERS__EXTERNAL_ID__text,IDENTIFIERS__SUBMITTER_ID__namespace,IDENTIFIERS__SUBMITTER_ID__text,SAMPLE_NAME__TAXON_ID,SAMPLE_NAME__SCIENTIFIC_NAME,SAMPLE_NAME__COMMON_NAME,TITLE,DESCRIPTION,strain,INSDC_secondary_accession,NCBI_submission_package,organism,sex,tissue,dev_stage,sample_type,BioSampleModel,ENA-FIRST-PUBLIC,ENA-LAST-UPDATE,age
SRR3997888,SRP080894,SAMN05449962,SRS1600036,SRX1998647,PRJNA335681,SRA448258,10090,Mus musculus,ILLUMINA,Illumina MiSeq,M2,,PAIRED,AMPLICON,GENOMIC,PCR,10430,6196288,SUB1726421,2017-12-01,2017-12-01,Illumina MiSeq sequencing: 16S_ampliconseq of mus musculus: faecal sample,Faecal microbiota composition across different C57BL/6J inbred mice generations,PRJNA335681,M2,1A2S7_S2_L001_R1_001.fastq.gz,1216885;2001946,df3c7ed8aba39943b1b3873b23b5f6fe;c56e5c8b7eb8ab29a7ef7dfa800abb87,ftp.sra.ebi.ac.uk/vol1/fastq/SRR399/008/SRR3997888/SRR3997888_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR399/008/SRR3997888/SRR3997888_2.fastq.gz,fasp.sra.ebi.ac.uk:/vol1/fastq/SRR399/008/SRR3997888/SRR3997888_1.fastq.gz;fasp.sra.ebi.ac.uk:/vol1/fastq/SRR399/008/SRR3997888/SRR3997888_2.fastq.gz,ftp.sra.ebi.ac.uk/vol1/fastq/SRR399/008/SRR3997888/SRR3997888_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR399/008/SRR3997888/SRR3997888_2.fastq.gz,,,,,,,3963030,73db8dffe1008a1452b45ae968b3fc3f,ftp.sra.ebi.ac.uk/vol1/srr/SRR399/008/SRR3997888,fasp.sra.ebi.ac.uk:/vol1/srr/SRR399/008/SRR3997888,ftp.sra.ebi.ac.uk/vol1/srr/SRR399/008/SRR3997888,M2,,1A2S7,,2017-12-01,SAMN05449962,SRS1600036,BioSample,SAMN05449962,SAHMRI,M2,10090,Mus musculus,house mouse,1A2S7,G1,C57BL/6J,SRS1600036,Model.organism.animal.1.0,Mus musculus,female,Faecal sample,Adult,G1-mouse2,Model organism or animal,2017-09-28,2017-09-28,
SRR3997889,SRP080894,SAMN05449971,SRS1600037,SRX1998648,PRJNA335681,SRA448258,10090,Mus musculus,ILLUMINA,Illumina MiSeq,M11,,PAIRED,AMPLICON,GENOMIC,PCR,17071,10130436,SUB1726421,2017-12-01,2017-12-01,Illumina MiSeq sequencing: 16S_ampliconseq of mus musculus: faecal sample,Faecal microbiota composition across different C57BL/6J inbred mice generations,PRJNA335681,M11,1A12S7_S12_L001_R2_001.fastq.gz,1962004;3247543,344ec65d2e6b1009a617a9c2cfa0abc1;e72ad5c65eef90ac147c2edd3c36e2ef,ftp.sra.ebi.ac.uk/vol1/fastq/SRR399/009/SRR3997889/SRR3997889_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR399/009/SRR3997889/SRR3997889_2.fastq.gz,fasp.sra.ebi.ac.uk:/vol1/fastq/SRR399/009/SRR3997889/SRR3997889_1.fastq.gz;fasp.sra.ebi.ac.uk:/vol1/fastq/SRR399/009/SRR3997889/SRR3997889_2.fastq.gz,ftp.sra.ebi.ac.uk/vol1/fastq/SRR399/009/SRR3997889/SRR3997889_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR399/009/SRR3997889/SRR3997889_2.fastq.gz,,,,,,,6385623,ea365a293f245a58f8a8ecf09ffe83d6,ftp.sra.ebi.ac.uk/vol1/srr/SRR399/009/SRR3997889,fasp.sra.ebi.ac.uk:/vol1/srr/SRR399/009/SRR3997889,ftp.sra.ebi.ac.uk/vol1/srr/SRR399/009/SRR3997889,M11,,1A12S7,,2017-12-01,SAMN05449971,SRS1600037,BioSample,SAMN05449971,SAHMRI,M11,10090,Mus musculus,house mouse,1A12S7,G1,C57BL/6J,SRS1600037,Model.organism.animal.1.0,Mus musculus,female,Faecal sample,Adult,G1-mouse11,Model organism or animal,2017-09-28,2017-09-28,
SRR3997890,SRP080894,SAMN05450061,SRS1600038,SRX1998649,PRJNA335681,SRA448258,10090,Mus musculus,ILLUMINA,Illumina MiSeq,M101,,PAIRED,AMPLICON,GENOMIC,PCR,8742,5162363,SUB1726421,2017-12-01,2017-12-01,Illumina MiSeq sequencing: 16S_ampliconseq of mus musculus: faecal sample,Faecal microbiota composition across different C57BL/6J inbred mice generations,PRJNA335681,M101,4B8S9_S308_L001_R2_001.fastq.gz,833938;1506660,abfbba65feabdb306498e5091bf54232;406eb1ee57ccf77feb76ac19c9a224c2,ftp.sra.ebi.ac.uk/vol1/fastq/SRR399/000/SRR3997890/SRR3997890_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR399/000/SRR3997890/SRR3997890_2.fastq.gz,fasp.sra.ebi.ac.uk:/vol1/fastq/SRR399/000/SRR3997890/SRR3997890_1.fastq.gz;fasp.sra.ebi.ac.uk:/vol1/fastq/SRR399/000/SRR3997890/SRR3997890_2.fastq.gz,ftp.sra.ebi.ac.uk/vol1/fastq/SRR399/000/SRR3997890/SRR3997890_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR399/000/SRR3997890/SRR3997890_2.fastq.gz,,,,,,,2935503,2735555d3c695b35e5d58beb9834853d,ftp.sra.ebi.ac.uk/vol1/srr/SRR399/000/SRR3997890,fasp.sra.ebi.ac.uk:/vol1/srr/SRR399/000/SRR3997890,ftp.sra.ebi.ac.uk/vol1/srr/SRR399/000/SRR3997890,M101,,4B8S9,,2017-12-01,SAMN05450061,SRS1600038,BioSample,SAMN05450061,SAHMRI,M101,10090,Mus musculus,house mouse,4B8S9,AF2,C57BL/6J,SRS1600038,Model.organism.animal.1.0,Mus musculus,female,Faecal sample,Adult,AF2-mouse20,Model organism or animal,2017-09-28,2017-09-28,
SRR3997895,SRP080894,SAMN05506931,SRS1600043,SRX1998654,PRJNA335681,SRA448258,10090,Mus musculus,ILLUMINA,Illumina MiSeq,MV4_4w,,PAIRED,AMPLICON,GENOMIC,PCR,15889,9347873,SUB1726421,2017-12-01,2017-12-01,Illumina MiSeq sequencing: 16S_ampliconseq of mus musculus: faecal sample,Faecal microbiota composition across different C57BL/6J inbred mice generations,PRJNA335681,MV4_4w,3E4S9_S244_L001_R1_001.fastq.gz,1489451;2614101,504015df56b68ced47133a43a1544a05;984a32b864fb430cf9fe7ee3b1dd6893,ftp.sra.ebi.ac.uk/vol1/fastq/SRR399/005/SRR3997895/SRR3997895_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR399/005/SRR3997895/SRR3997895_2.fastq.gz,fasp.sra.ebi.ac.uk:/vol1/fastq/SRR399/005/SRR3997895/SRR3997895_1.fastq.gz;fasp.sra.ebi.ac.uk:/vol1/fastq/SRR399/005/SRR3997895/SRR3997895_2.fastq.gz,ftp.sra.ebi.ac.uk/vol1/fastq/SRR399/005/SRR3997895/SRR3997895_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR399/005/SRR3997895/SRR3997895_2.fastq.gz,,,,,,,5177037,445dba9975f4dc38144ab5b2318abdf7,ftp.sra.ebi.ac.uk/vol1/srr/SRR399/005/SRR3997895,fasp.sra.ebi.ac.uk:/vol1/srr/SRR399/005/SRR3997895,ftp.sra.ebi.ac.uk/vol1/srr/SRR399/005/SRR3997895,MV4_4w,,3E4S9,,2017-12-01,SAMN05506931,SRS1600043,BioSample,SAMN05506931,SAHMRI,MV4_4w,10090,Mus musculus,house mouse,3E4S9,4w,C57BL/6J,SRS1600043,Model.organism.animal.1.0,Mus musculus,female,Faecal sample,,4w-mouse4,Model organism or animal,2017-09-28,2017-09-28,4wks
SRR3997899,SRP080894,SAMN05506935,SRS1600048,SRX1998659,PRJNA335681,SRA448258,10090,Mus musculus,ILLUMINA,Illumina MiSeq,MV8_4w,,PAIRED,AMPLICON,GENOMIC,PCR,13456,7930243,SUB1726421,2017-12-01,2017-12-01,Illumina MiSeq sequencing: 16S_ampliconseq of mus musculus: faecal sample,Faecal microbiota composition across different C57BL/6J inbred mice generations,PRJNA335681,MV8_4w,3E8S9_S248_L001_R1_001.fastq.gz,1210627;2239973,b811e061dd3909ea1564b315fbdbcc31;39e820c9e735d6c36557b5a5dd3e3a9c,ftp.sra.ebi.ac.uk/vol1/fastq/SRR399/009/SRR3997899/SRR3997899_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR399/009/SRR3997899/SRR3997899_2.fastq.gz,fasp.sra.ebi.ac.uk:/vol1/fastq/SRR399/009/SRR3997899/SRR3997899_1.fastq.gz;fasp.sra.ebi.ac.uk:/vol1/fastq/SRR399/009/SRR3997899/SRR3997899_2.fastq.gz,ftp.sra.ebi.ac.uk/vol1/fastq/SRR399/009/SRR3997899/SRR3997899_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR399/009/SRR3997899/SRR3997899_2.fastq.gz,,,,,,,4398169,cd39e288a73a413966414970eff5c9fa,ftp.sra.ebi.ac.uk/vol1/srr/SRR399/009/SRR3997899,fasp.sra.ebi.ac.uk:/vol1/srr/SRR399/009/SRR3997899,ftp.sra.ebi.ac.uk/vol1/srr/SRR399/009/SRR3997899,MV8_4w,,3E8S9,,2017-12-01,SAMN05506935,SRS1600048,BioSample,SAMN05506935,SAHMRI,MV8_4w,10090,Mus musculus,house mouse,3E8S9,4w,C57BL/6J,SRS1600048,Model.organism.animal.1.0,Mus musculus,male,Faecal sample,,4w-mouse8,Model organism or animal,2017-09-28,2017-09-28,4wks
SRR3997902,SRP080894,SAMN05506937,SRS1600051,SRX1998662,PRJNA335681,SRA448258,10090,Mus musculus,ILLUMINA,Illumina MiSeq,MV1_8w,,PAIRED,AMPLICON,GENOMIC,PCR,20787,12246273,SUB1726421,2017-12-01,2017-12-01,Illumina MiSeq sequencing: 16S_ampliconseq of mus musculus: faecal sample,Faecal microbiota composition across different C57BL/6J inbred mice generations,PRJNA335681,MV1_8w,2C10S9_S130_L001_R1_001.fastq.gz,1782246;3426186,dacdc8b9f3cf4bd19725c43c3bd7757a;5cbf8c0624a1f6ea043ccf2d504592e2,ftp.sra.ebi.ac.uk/vol1/fastq/SRR399/002/SRR3997902/SRR3997902_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR399/002/SRR3997902/SRR3997902_2.fastq.gz,fasp.sra.ebi.ac.uk:/vol1/fastq/SRR399/002/SRR3997902/SRR3997902_1.fastq.gz;fasp.sra.ebi.ac.uk:/vol1/fastq/SRR399/002/SRR3997902/SRR3997902_2.fastq.gz,ftp.sra.ebi.ac.uk/vol1/fastq/SRR399/002/SRR3997902/SRR3997902_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR399/002/SRR3997902/SRR3997902_2.fastq.gz,,,,,,,6741037,bc7a75519be6b2b654abfb207ac43d84,ftp.sra.ebi.ac.uk/vol1/srr/SRR399/002/SRR3997902,fasp.sra.ebi.ac.uk:/vol1/srr/SRR399/002/SRR3997902,ftp.sra.ebi.ac.uk/vol1/srr/SRR399/002/SRR3997902,MV1_8w,,2C10S9,,2017-12-01,SAMN05506937,SRS1600051,BioSample,SAMN05506937,SAHMRI,MV1_8w,10090,Mus musculus,house mouse,2C10S9,8w,C57BL/6J,SRS1600051,Model.organism.animal.1.0,Mus musculus,female,Faecal sample,,8w-mouse1,Model organism or animal,2017-09-28,2017-09-28,8wks
SRR3997904,SRP080894,SAMN05506939,SRS1600053,SRX1998664,PRJNA335681,SRA448258,10090,Mus musculus,ILLUMINA,Illumina MiSeq,MV3_8w,,PAIRED,AMPLICON,GENOMIC,PCR,26244,15470173,SUB1726421,2017-12-01,2017-12-01,Illumina MiSeq sequencing: 16S_ampliconseq of mus musculus: faecal sample,Faecal microbiota composition across different C57BL/6J inbred mice generations,PRJNA335681,MV3_8w,2C12S9_S132_L001_R2_001.fastq.gz,2253407;4422982,704771d86cfac9635548c38a23f65ccb;b87432371d528c946928a6ae5d1b1acb,ftp.sra.ebi.ac.uk/vol1/fastq/SRR399/004/SRR3997904/SRR3997904_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR399/004/SRR3997904/SRR3997904_2.fastq.gz,fasp.sra.ebi.ac.uk:/vol1/fastq/SRR399/004/SRR3997904/SRR3997904_1.fastq.gz;fasp.sra.ebi.ac.uk:/vol1/fastq/SRR399/004/SRR3997904/SRR3997904_2.fastq.gz,ftp.sra.ebi.ac.uk/vol1/fastq/SRR399/004/SRR3997904/SRR3997904_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR399/004/SRR3997904/SRR3997904_2.fastq.gz,,,,,,,8530363,b1663156d2b4a3f5b2a365377a185dc0,ftp.sra.ebi.ac.uk/vol1/srr/SRR399/004/SRR3997904,fasp.sra.ebi.ac.uk:/vol1/srr/SRR399/004/SRR3997904,ftp.sra.ebi.ac.uk/vol1/srr/SRR399/004/SRR3997904,MV3_8w,,2C12S9,,2017-12-01,SAMN05506939,SRS1600053,BioSample,SAMN05506939,SAHMRI,MV3_8w,10090,Mus musculus,house mouse,2C12S9,8w,C57BL/6J,SRS1600053,Model.organism.animal.1.0,Mus musculus,female,Faecal sample,,8w-mouse3,Model organism or animal,2017-09-28,2017-09-28,8wks
SRR3997906,SRP080894,SAMN05506941,SRS1600055,SRX1998666,PRJNA335681,SRA448258,10090,Mus musculus,ILLUMINA,Illumina MiSeq,MV5_8w,,PAIRED,AMPLICON,GENOMIC,PCR,14203,8374691,SUB1726421,2017-12-01,2017-12-01,Illumina MiSeq sequencing: 16S_ampliconseq of mus musculus: faecal sample,Faecal microbiota composition across different C57BL/6J inbred mice generations,PRJNA335681,MV5_8w,2D2S9_S134_L001_R1_001.fastq.gz,1283064;2325104,5c82ab486bd1ac7053c44c6f8094465b;14bce9e94775bca09938b268aa82a68d,ftp.sra.ebi.ac.uk/vol1/fastq/SRR399/006/SRR3997906/SRR3997906_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR399/006/SRR3997906/SRR3997906_2.fastq.gz,fasp.sra.ebi.ac.uk:/vol1/fastq/SRR399/006/SRR3997906/SRR3997906_1.fastq.gz;fasp.sra.ebi.ac.uk:/vol1/fastq/SRR399/006/SRR3997906/SRR3997906_2.fastq.gz,ftp.sra.ebi.ac.uk/vol1/fastq/SRR399/006/SRR3997906/SRR3997906_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR399/006/SRR3997906/SRR3997906_2.fastq.gz,,,,,,,4642526,55143871eb7f69ae2aeeb9d5b116a29a,ftp.sra.ebi.ac.uk/vol1/srr/SRR399/006/SRR3997906,fasp.sra.ebi.ac.uk:/vol1/srr/SRR399/006/SRR3997906,ftp.sra.ebi.ac.uk/vol1/srr/SRR399/006/SRR3997906,MV5_8w,,2D2S9,,2017-12-01,SAMN05506941,SRS1600055,BioSample,SAMN05506941,SAHMRI,MV5_8w,10090,Mus musculus,house mouse,2D2S9,8w,C57BL/6J,SRS1600055,Model.organism.animal.1.0,Mus musculus,female,Faecal sample,,8w-mouse5,Model organism or animal,2017-09-28,2017-09-28,8wks
SRR3997912,SRP080894,SAMN05449973,SRS1600060,SRX1998671,PRJNA335681,SRA448258,10090,Mus musculus,ILLUMINA,Illumina MiSeq,M13,,PAIRED,AMPLICON,GENOMIC,PCR,8250,4901993,SUB1726421,2017-12-01,2017-12-01,Illumina MiSeq sequencing: 16S_ampliconseq of mus musculus: faecal sample,Faecal microbiota composition across different C57BL/6J inbred mice generations,PRJNA335681,M13,1B2S7_S14_L001_R2_001.fastq.gz,983899;1581205,f16ccb4b81e9c59a248d8dc480e60af3;91a590340eff016f7d0629eb2ecdce81,ftp.sra.ebi.ac.uk/vol1/fastq/SRR399/002/SRR3997912/SRR3997912_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR399/002/SRR3997912/SRR3997912_2.fastq.gz,fasp.sra.ebi.ac.uk:/vol1/fastq/SRR399/002/SRR3997912/SRR3997912_1.fastq.gz;fasp.sra.ebi.ac.uk:/vol1/fastq/SRR399/002/SRR3997912/SRR3997912_2.fastq.gz,ftp.sra.ebi.ac.uk/vol1/fastq/SRR399/002/SRR3997912/SRR3997912_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR399/002/SRR3997912/SRR3997912_2.fastq.gz,,,,,,,3151933,bc235b40539f2fa85a5ef654ebb12bfd,ftp.sra.ebi.ac.uk/vol1/srr/SRR399/002/SRR3997912,fasp.sra.ebi.ac.uk:/vol1/srr/SRR399/002/SRR3997912,ftp.sra.ebi.ac.uk/vol1/srr/SRR399/002/SRR3997912,M13,,1B2S7,,2017-12-01,SAMN05449973,SRS1600060,BioSample,SAMN05449973,SAHMRI,M13,10090,Mus musculus,house mouse,1B2S7,G1,C57BL/6J,SRS1600060,Model.organism.animal.1.0,Mus musculus,female,Faecal sample,Adult,G1-mouse13,Model organism or animal,2017-09-28,2017-09-28,
SRR3997915,SRP080894,SAMN05506948,SRS1600063,SRX1998674,PRJNA335681,SRA448258,10090,Mus musculus,ILLUMINA,Illumina MiSeq,MV5_16w,,PAIRED,AMPLICON,GENOMIC,PCR,18554,10877644,SUB1726421,2017-12-01,2017-12-01,Illumina MiSeq sequencing: 16S_ampliconseq of mus musculus: faecal sample,Faecal microbiota composition across different C57BL/6J inbred mice generations,PRJNA335681,MV5_16w,1D9S12_S45_L001_R1_001.fastq.gz,1349445;2393781,aa935ab7b98c6f664cf10cbe0f5847ca;9f7df965fdd8d6aa7814c3e3f722cb71,ftp.sra.ebi.ac.uk/vol1/fastq/SRR399/005/SRR3997915/SRR3997915_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR399/005/SRR3997915/SRR3997915_2.fastq.gz,fasp.sra.ebi.ac.uk:/vol1/fastq/SRR399/005/SRR3997915/SRR3997915_1.fastq.gz;fasp.sra.ebi.ac.uk:/vol1/fastq/SRR399/005/SRR3997915/SRR3997915_2.fastq.gz,ftp.sra.ebi.ac.uk/vol1/fastq/SRR399/005/SRR3997915/SRR3997915_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR399/005/SRR3997915/SRR3997915_2.fastq.gz,,,,,,,5359185,24ffcefcbc04da599fd234b47a9f848a,ftp.sra.ebi.ac.uk/vol1/srr/SRR399/005/SRR3997915,fasp.sra.ebi.ac.uk:/vol1/srr/SRR399/005/SRR3997915,ftp.sra.ebi.ac.uk/vol1/srr/SRR399/005/SRR3997915,MV5_16w,,1D9S12,,2017-12-01,SAMN05506948,SRS1600063,BioSample,SAMN05506948,SAHMRI,MV5_16w,10090,Mus musculus,house mouse,1D9S12,16w,C57BL/6J,SRS1600063,Model.organism.animal.1.0,Mus musculus,female,Faecal sample,,16w-mouse5,Model organism or animal,2017-09-28,2017-09-28,16wks
